algorithm,generation,feasible_ratio
nsga2,104,0.8976639348776753
nsga2,105,0.8977079959904387
nsga2,106,0.8977410418250114
nsga2,107,0.8977823491182271
nsga2,108,0.8978140180430256
nsga2,109,0.8978443100580505
nsga2,110,0.8978883711708139
nsga2,111,0.8979104017271956
nsga2,112,0.8979406937422204
nsga2,113,0.8979517090204113
nsga2,114,0.8979751164865668
nsga2,115,0.8979902624940792
nsga2,116,0.8980081623211394
nsga2,117,0.8980329466970688
nsga2,118,0.8980536003436767
nsga2,119,0.8980825154489277
nsga2,120,0.8981059229150832
nsga2,121,0.8981362149301081
nsga2,122,0.8981623762158113
nsga2,123,0.8981816529526453
nsga2,124,0.8982050604188009
nsga2,125,0.8982243371556349
nsga2,126,0.8982449908022427
nsga2,127,0.8982601368097551
nsga2,128,0.8982849211856845
nsga2,129,0.8983083286518401
nsga2,130,0.8983303592082218
nsga2,131,0.8983592743134727
nsga2,132,0.898385435599176
nsga2,133,0.898414350704427
nsga2,134,0.8984336274412611
nsga2,135,0.898452904178095
nsga2,136,0.8984790654637983
nsga2,137,0.8984969652908583
nsga2,138,0.8985231265765616
nsga2,139,0.8985410264036219
nsga2,140,0.8985534185915866
nsga2,141,0.8985713184186467
nsga2,142,0.8985837106066114
nsga2,143,0.8985905951554806
nsga2,144,0.8986043642532192
nsga2,145,0.8986140026216363
nsga2,146,0.8986181333509577
nsga2,147,0.8986305255389225
nsga2,148,0.8986442946366611
nsga2,149,0.8986594406441735
nsga2,150,0.898673209741912
pi_nsga3,1,0.5405284568890344
pi_nsga3,2,0.6438868702739861
pi_nsga3,3,0.8017676519689678
pi_nsga3,4,0.8371108710596091
pi_nsga3,5,0.8577647058823529
pi_nsga3,6,0.8754445964432285
pi_nsga3,7,0.8898377955833495
pi_nsga3,8,0.9007133085792457
pi_nsga3,9,0.9083349618917336
pi_nsga3,10,0.913924174320891
pi_nsga3,11,0.9183799101035763
pi_nsga3,12,0.9218096540941957
pi_nsga3,13,0.9246531170607778
pi_nsga3,14,0.9270080125073284
pi_nsga3,15,0.9289036544850499
pi_nsga3,16,0.9305550127027556
pi_nsga3,17,0.9322454563220638
pi_nsga3,18,0.9337502442837601
pi_nsga3,19,0.9350693765878444
pi_nsga3,20,0.93609536837991
pi_nsga3,21,0.9370334180183701
pi_nsga3,22,0.9379128395544264
pi_nsga3,23,0.9387629470392808
pi_nsga3,24,0.9394957983193278
pi_nsga3,25,0.9401309360953685
pi_nsga3,26,0.9406879030682039
pi_nsga3,27,0.9411764705882354
pi_nsga3,28,0.9415673246042604
pi_nsga3,29,0.9418702364666797
pi_nsga3,30,0.9421242915770959
pi_nsga3,31,0.9423685753371115
pi_nsga3,32,0.9426128590971273
pi_nsga3,33,0.9427887434043384
pi_nsga3,34,0.9429255423099472
pi_nsga3,35,0.943062341215556
pi_nsga3,36,0.9431600547195622
pi_nsga3,37,0.9432675395739691
pi_nsga3,38,0.9433261676763729
pi_nsga3,39,0.9434141098299784
pi_nsga3,40,0.9434922806331836
pi_nsga3,41,0.9435606800859878
pi_nsga3,42,0.943609536837991
pi_nsga3,43,0.9436290795387924
pi_nsga3,44,0.943638850889193
pi_nsga3,45,0.9436486222395936
pi_nsga3,46,0.9436681649403948
pi_nsga3,47,0.9436779362907954
pi_nsga3,48,0.9436974789915966
pi_nsga3,49,0.9436974789915966
pi_nsga3,50,0.9436974789915966
pi_nsga3,51,0.9436974789915966
pi_nsga3,52,0.9437072503419973
pi_nsga3,53,0.9437170216923979
pi_nsga3,54,0.9437463357435998
pi_nsga3,55,0.9437463357435998
pi_nsga3,56,0.9437463357435998
pi_nsga3,57,0.9437463357435998
pi_nsga3,58,0.9437463357435998
pi_nsga3,59,0.9437463357435998
pi_nsga3,60,0.9437463357435998
pi_nsga3,61,0.9437463357435998
pi_nsga3,62,0.9437463357435998
pi_nsga3,63,0.9437463357435998
pi_nsga3,64,0.9437463357435998
pi_nsga3,65,0.9437463357435998
pi_nsga3,66,0.9437463357435998
pi_nsga3,67,0.9437463357435998
pi_nsga3,68,0.9437463357435998
pi_nsga3,69,0.9437463357435998
pi_nsga3,70,0.9437561070940004
pi_nsga3,71,0.943765878444401
pi_nsga3,72,0.943765878444401
pi_nsga3,73,0.943765878444401
pi_nsga3,74,0.9437756497948016
pi_nsga3,75,0.9437756497948016
pi_nsga3,76,0.9437756497948016
pi_nsga3,77,0.9437756497948016
pi_nsga3,78,0.9437756497948016
pi_nsga3,79,0.9437756497948016
pi_nsga3,80,0.9437854211452023
pi_nsga3,81,0.9437951924956028
pi_nsga3,82,0.9438049638460034
pi_nsga3,83,0.9438049638460034
pi_nsga3,84,0.9438245065468047
pi_nsga3,85,0.9438342778972053
pi_nsga3,86,0.9438440492476061
pi_nsga3,87,0.9438538205980067
pi_nsga3,88,0.9438635919484073
pi_nsga3,89,0.9438635919484073
pi_nsga3,90,0.9438635919484073
pi_nsga3,91,0.9438635919484073
pi_nsga3,92,0.9438635919484073
pi_nsga3,93,0.9438635919484073
pi_nsga3,94,0.9438635919484073
pi_nsga3,95,0.9438635919484073
pi_nsga3,96,0.9438635919484073
pi_nsga3,97,0.9438635919484073
pi_nsga3,98,0.9438635919484073
pi_nsga3,99,0.9438635919484073
pi_nsga3,100,0.9438635919484073
pi_nsga3,101,0.9438635919484073
pi_nsga3,102,0.9438635919484073
pi_nsga3,103,0.9438635919484073
pi_nsga3,104,0.9438635919484073
pi_nsga3,105,0.9438635919484073
pi_nsga3,106,0.9438635919484073
pi_nsga3,107,0.9438635919484073
pi_nsga3,108,0.9438635919484073
pi_nsga3,109,0.9438635919484073
pi_nsga3,110,0.9438635919484073
pi_nsga3,111,0.9438635919484073
pi_nsga3,112,0.9438635919484073
pi_nsga3,113,0.9438635919484073
pi_nsga3,114,0.9438635919484073
pi_nsga3,115,0.9438635919484073
pi_nsga3,116,0.9438635919484073
pi_nsga3,117,0.9438635919484073
pi_nsga3,118,0.9438635919484073
pi_nsga3,119,0.9438635919484073
pi_nsga3,120,0.9438635919484073
pi_nsga3,121,0.9438635919484073
pi_nsga3,122,0.9438635919484073
pi_nsga3,123,0.9438635919484073
pi_nsga3,124,0.9438635919484073
pi_nsga3,125,0.9438635919484073
pi_nsga3,126,0.9438635919484073
pi_nsga3,127,0.9438635919484073
pi_nsga3,128,0.9438635919484073
pi_nsga3,129,0.9438635919484073
pi_nsga3,130,0.9438635919484073
pi_nsga3,131,0.9438635919484073
pi_nsga3,132,0.9438635919484073
pi_nsga3,133,0.9438635919484073
pi_nsga3,134,0.9438635919484073
pi_nsga3,135,0.9438635919484073
pi_nsga3,136,0.9438635919484073
pi_nsga3,137,0.9438635919484073
pi_nsga3,138,0.9438635919484073
pi_nsga3,139,0.9438635919484073
pi_nsga3,140,0.9438635919484073
pi_nsga3,141,0.9438635919484073
pi_nsga3,142,0.9438635919484073
pi_nsga3,143,0.9438635919484073
pi_nsga3,144,0.9438635919484073
pi_nsga3,145,0.9438635919484073
pi_nsga3,146,0.9438635919484073
pi_nsga3,147,0.9438635919484073
pi_nsga3,148,0.9438635919484073
pi_nsga3,149,0.943873363298808
pi_nsga3,150,0.9438831346492086
