student_id;weather_rain_walking;weather_rain_cycling;crowding_public_transport;physical_fatigue_cycling;number_of_transfers;waiting_time_uncertainty;seat_availability;noise_level;safety_perception;luggage_carrying
STU_0086;4;5;3;5;4;4;3;2;3;4
STU_0087;5;5;4;4;3;4;3;4;3;4
STU_0088;4;4;4;5;4;4;4;4;4;3
STU_0089;5;5;4;3;3;4;3;3;5;3
STU_0090;3;4;3;3;2;5;4;2;3;3
STU_0091;3;4;5;4;3;4;3;2;2;4
STU_0092;4;4;4;3;2;3;2;2;4;3
STU_0093;3;4;4;4;3;3;3;2;4;4
STU_0094;5;5;2;3;3;5;3;3;4;2
STU_0095;5;3;3;5;3;3;3;3;4;2
STU_0096;3;5;4;3;3;3;4;4;3;3
STU_0097;4;3;4;5;3;5;2;2;4;2
STU_0098;4;5;3;5;2;4;3;2;3;4
STU_0099;5;5;5;4;2;3;3;3;4;4
STU_0100;4;4;4;3;4;2;3;4;4;3
STU_0101;5;5;4;4;4;3;3;4;3;1
STU_0102;5;5;3;2;3;5;3;3;5;4
STU_0103;5;5;3;3;4;4;4;2;4;3
STU_0104;4;4;5;5;2;4;2;3;4;4
STU_0105;4;4;4;3;1;4;3;3;5;4
STU_0106;3;3;3;4;3;5;4;2;4;4
STU_0107;4;5;3;4;3;5;3;3;4;5
STU_0108;4;4;3;3;3;4;3;3;5;3
STU_0109;4;4;2;4;3;4;4;3;4;3
STU_0110;5;3;3;4;4;4;4;2;4;4
STU_0111;5;5;5;3;1;2;4;4;3;3
STU_0112;4;4;3;3;3;4;5;2;4;3
STU_0113;4;4;4;4;3;3;2;3;5;3
STU_0114;5;4;3;4;5;4;3;4;5;3
STU_0115;4;5;4;5;4;3;4;2;3;2
STU_0116;4;4;5;4;4;4;3;3;4;3
STU_0117;5;4;4;3;3;4;4;3;5;4
STU_0118;4;5;4;4;2;3;3;4;4;4
STU_0119;4;4;4;2;5;5;4;4;4;4
STU_0120;4;5;3;4;2;3;3;3;4;5
STU_0121;4;4;4;3;2;3;4;2;3;5
STU_0122;2;4;5;5;4;5;3;2;5;3
STU_0123;3;5;4;4;1;1;4;3;3;4
STU_0124;3;4;3;4;2;3;4;2;4;4
STU_0125;4;5;5;4;2;3;4;3;4;2
STU_0126;3;5;5;3;3;3;3;2;4;4
STU_0127;3;5;3;4;4;4;3;3;3;4
STU_0128;4;5;4;5;3;4;4;3;4;3
STU_0129;4;4;3;5;4;3;5;2;4;4
STU_0130;5;4;4;3;3;3;3;2;5;2
STU_0131;5;4;4;5;3;4;4;2;4;4
STU_0132;5;4;4;4;3;3;3;4;4;3
STU_0133;3;5;4;4;5;4;2;3;3;3
STU_0134;4;5;3;4;4;5;2;2;3;2
STU_0135;4;5;4;4;3;3;4;3;4;4
STU_0136;4;4;3;4;2;4;3;2;3;3
STU_0137;4;5;3;5;5;3;2;1;3;2
STU_0138;4;5;2;4;3;5;2;2;4;2
STU_0139;5;3;3;5;2;4;3;2;3;2
STU_0140;5;4;4;5;4;3;3;4;4;4
STU_0141;4;4;4;2;3;4;3;2;3;3
STU_0142;4;5;3;3;4;4;2;4;4;3
STU_0143;3;4;3;4;3;3;3;1;5;3
STU_0144;5;3;5;3;4;4;5;3;3;3
STU_0145;4;4;3;2;2;4;4;4;5;4
STU_0146;4;4;3;3;4;5;4;4;4;2
STU_0147;4;5;4;5;3;3;2;3;4;3
STU_0148;4;5;3;3;3;4;4;4;3;2
STU_0149;3;4;3;5;2;4;3;3;4;4
STU_0150;4;5;3;5;3;3;3;3;3;4
STU_0151;3;4;3;4;2;4;2;3;3;2
STU_0152;5;4;3;3;4;4;4;4;4;4
STU_0153;5;4;3;3;3;3;2;4;3;5
STU_0154;3;4;4;4;3;4;5;4;4;2
STU_0155;4;5;4;5;3;4;3;4;4;3
STU_0156;4;4;3;4;3;4;3;4;4;2
STU_0157;4;4;4;4;2;4;2;4;5;4
STU_0158;2;4;4;4;4;5;1;3;4;4
STU_0159;5;5;3;3;3;3;3;2;4;3
STU_0160;3;3;3;5;3;4;3;3;3;3
STU_0161;3;5;4;5;4;3;3;4;4;3
STU_0162;5;5;4;4;3;3;2;3;4;3
STU_0163;4;4;5;5;2;4;4;1;4;3
STU_0164;4;4;4;4;4;4;4;2;5;3
STU_0165;4;4;3;4;4;3;3;2;3;2
STU_0166;4;4;4;5;4;4;4;2;4;5
STU_0167;3;5;3;2;3;5;5;2;4;4
STU_0168;5;2;5;4;4;5;2;4;5;2
STU_0169;4;4;4;4;3;4;5;3;4;2
STU_0170;5;4;2;4;4;3;2;2;4;3
STU_0171;4;5;3;3;4;4;4;3;5;3
STU_0172;5;5;4;3;3;4;5;3;5;2
STU_0173;3;5;4;3;4;3;3;3;5;4
STU_0174;5;5;5;4;3;3;3;3;3;3
STU_0175;4;4;2;2;2;3;2;2;4;2
STU_0176;3;3;3;4;3;4;3;2;3;3
STU_0177;5;5;5;3;2;2;4;2;5;3
STU_0178;5;4;3;4;3;4;2;3;3;3
STU_0179;3;5;3;4;3;4;4;2;3;4
STU_0180;5;4;3;3;5;3;4;3;3;3
STU_0181;3;4;4;3;4;3;3;2;4;2
STU_0182;3;4;3;4;3;4;2;3;2;4
STU_0183;4;4;4;3;4;4;2;4;5;3
STU_0184;5;5;3;4;3;3;5;1;5;2
STU_0185;4;3;3;4;3;4;3;4;4;4
STU_0186;3;4;4;3;3;4;3;3;2;1
STU_0187;3;4;3;3;3;4;3;2;4;4
STU_0188;3;5;3;3;4;4;2;3;4;4
STU_0189;5;4;4;5;3;3;5;2;4;5
STU_0190;5;5;4;5;4;2;4;3;4;3
STU_0191;5;4;3;4;4;5;3;2;3;3
STU_0192;5;5;5;2;3;4;3;2;3;3
STU_0193;3;5;4;4;3;4;4;2;4;3
STU_0194;3;3;3;3;2;4;3;3;3;4
STU_0195;4;4;5;4;3;4;3;3;5;1
STU_0196;4;4;3;3;5;3;4;2;4;4
STU_0197;4;4;3;4;4;4;3;4;4;3
STU_0198;5;4;4;3;4;3;2;4;4;3
STU_0199;5;4;3;4;2;5;5;2;4;3
STU_0200;5;5;4;3;2;4;3;2;4;5
STU_0201;5;4;4;4;4;2;3;3;4;2
STU_0202;4;5;3;3;5;4;3;1;3;5
STU_0203;5;5;2;3;2;3;3;3;3;3
STU_0204;4;5;4;4;4;4;5;2;3;2
STU_0205;3;4;4;4;2;3;4;4;4;4
STU_0206;4;3;4;3;3;3;3;3;4;3
STU_0207;4;4;3;5;4;3;3;3;4;3
STU_0208;4;4;3;3;2;4;4;5;3;3
STU_0209;5;5;5;5;1;4;4;3;3;5
STU_0210;4;2;3;5;2;5;4;3;4;3
STU_0211;4;4;5;4;2;4;4;2;3;2
STU_0212;5;4;3;3;2;3;4;3;3;2
STU_0213;4;4;4;5;2;2;3;2;5;2
STU_0214;3;3;2;4;2;2;3;3;3;4
STU_0215;5;5;4;4;5;2;4;2;4;2
STU_0216;4;4;5;3;3;4;5;3;5;4
STU_0217;5;3;3;3;3;4;2;3;2;4
STU_0218;4;5;4;3;2;3;3;3;4;4
STU_0219;5;3;3;4;3;4;5;2;3;3
STU_0220;5;5;3;2;4;4;3;1;4;4
STU_0221;5;3;4;4;4;3;3;3;4;3
STU_0222;5;5;3;4;2;5;4;4;4;4
STU_0223;5;4;3;5;3;5;4;3;5;3
STU_0224;4;4;3;3;3;4;4;3;4;2
STU_0225;4;3;3;4;4;4;3;3;3;3
STU_0226;3;4;3;4;3;3;1;3;3;3
STU_0227;3;5;5;2;3;4;3;2;4;3
STU_0228;5;5;3;3;3;3;2;4;3;4
STU_0229;5;4;4;3;3;5;4;3;4;3
STU_0230;4;5;3;3;3;4;4;2;3;3
STU_0231;4;4;3;3;4;4;4;2;5;4
STU_0232;4;5;5;3;3;4;3;3;4;3
STU_0233;4;4;5;4;4;5;3;3;3;4
STU_0234;4;4;3;3;3;4;3;4;4;2
STU_0235;4;3;2;4;2;4;4;4;4;2
STU_0236;4;4;4;4;3;4;4;3;5;2
STU_0237;5;5;4;4;3;4;3;3;3;3
STU_0238;4;4;4;5;3;3;4;3;4;3
STU_0239;4;4;3;4;3;4;3;4;3;3
STU_0240;5;3;4;3;3;3;4;4;5;3
STU_0241;4;4;4;5;3;3;3;2;4;4
STU_0242;5;4;4;2;5;4;3;3;4;1
STU_0243;4;5;4;4;4;4;3;2;4;3
STU_0244;4;5;3;3;5;3;4;3;4;4
STU_0245;3;5;5;5;2;2;4;2;3;4
STU_0246;5;5;4;4;2;3;3;4;4;4
STU_0247;3;4;4;4;3;4;2;3;5;3
STU_0248;4;5;5;5;4;4;5;3;5;3
STU_0249;5;5;3;3;2;2;3;4;4;2
STU_0250;3;4;5;3;4;4;3;2;5;3
STU_0251;4;5;4;3;3;4;3;3;4;3
STU_0252;3;5;3;3;2;4;2;2;4;3
STU_0253;3;5;4;5;4;2;4;4;4;4
STU_0254;4;5;4;2;3;3;4;4;4;2
STU_0255;4;4;3;5;3;2;4;4;4;4
STU_0256;4;4;4;5;2;3;4;3;2;3
STU_0257;4;4;3;5;3;4;3;3;4;1
STU_0258;3;4;4;3;2;4;4;1;4;1
STU_0259;4;5;4;3;2;3;3;2;4;4
STU_0260;4;5;3;5;2;4;4;2;4;2
STU_0261;4;4;2;4;4;4;3;2;3;3
STU_0262;5;4;4;4;2;3;3;2;3;4
STU_0263;5;4;4;4;2;3;4;4;3;3
STU_0264;5;4;4;2;3;5;3;3;4;4
STU_0265;3;5;4;3;3;3;2;4;3;4
STU_0266;3;5;3;4;3;2;2;1;4;3
STU_0267;5;4;2;5;4;4;5;3;4;2
STU_0268;3;3;3;5;2;3;3;5;3;2
STU_0269;4;5;3;3;3;3;4;3;4;3
STU_0270;3;4;4;5;3;2;5;4;4;3
STU_0271;4;4;4;5;3;5;3;4;4;4
STU_0272;4;4;3;4;4;4;3;3;4;3
STU_0273;3;5;4;4;3;3;4;3;2;5
STU_0274;5;4;4;5;4;3;4;3;5;3
STU_0275;4;4;4;4;3;4;3;2;3;3
STU_0276;4;4;5;4;4;4;4;2;5;4
STU_0277;5;5;5;3;2;3;3;4;3;3
STU_0278;3;5;3;4;4;2;3;2;4;3
STU_0279;5;5;3;4;1;3;4;3;4;2
STU_0280;4;2;3;4;5;4;4;2;4;3
STU_0281;5;4;3;4;4;3;4;2;4;3
STU_0282;4;4;3;3;3;3;4;3;4;2
STU_0283;3;4;5;4;3;3;4;3;4;3
STU_0284;5;4;3;3;4;4;2;2;4;1
STU_0285;4;4;3;4;3;3;3;4;5;3
STU_0286;4;5;3;4;4;3;3;3;4;3
STU_0287;5;4;4;5;3;4;4;4;4;2
STU_0288;3;4;3;3;2;3;2;5;4;3
STU_0289;5;5;4;5;3;3;4;4;4;3
STU_0290;3;4;4;3;3;3;3;2;4;3
STU_0291;3;5;4;4;2;3;5;1;3;5
STU_0292;5;5;4;3;2;4;3;4;2;3
STU_0293;5;5;4;4;3;4;4;3;4;3
STU_0294;3;3;3;4;2;3;3;4;2;2
STU_0295;4;5;5;3;3;3;3;3;4;2
STU_0296;3;5;3;4;4;3;5;3;3;3
STU_0297;3;4;3;5;4;5;3;3;5;4
STU_0298;5;4;2;4;3;4;3;2;4;4
STU_0299;4;4;3;4;4;4;4;3;3;4
STU_0300;4;4;2;3;4;4;2;2;5;3
STU_0301;5;5;3;5;2;4;3;3;4;3
STU_0302;5;5;3;3;3;4;4;4;3;2
STU_0303;3;4;4;4;2;3;3;5;4;2
STU_0304;4;4;3;4;3;4;5;3;4;4
STU_0305;4;4;4;4;2;5;2;3;5;1
STU_0306;5;5;3;3;3;4;4;2;4;2
STU_0307;3;4;4;4;3;4;4;3;4;4
STU_0308;4;4;4;5;5;3;3;3;5;3
STU_0309;4;4;4;3;3;3;3;2;5;3
STU_0310;5;4;3;4;4;5;3;5;4;3
STU_0311;4;5;4;3;3;5;1;3;4;2
STU_0312;5;3;3;5;4;4;3;3;3;2
STU_0313;5;5;4;4;3;4;2;1;5;2
STU_0314;4;4;4;3;3;4;4;3;5;2
STU_0315;5;4;3;4;2;3;4;4;4;4
STU_0316;4;4;3;3;2;5;4;4;4;2
STU_0317;5;5;4;3;2;4;3;3;3;3
STU_0318;3;4;4;4;2;4;3;4;5;3
STU_0319;5;4;3;4;5;5;4;2;3;4
STU_0320;3;4;4;3;4;4;3;3;2;3
STU_0321;3;4;3;3;2;3;4;3;5;3
STU_0322;4;4;1;4;3;4;2;3;4;3
STU_0323;4;4;4;5;3;2;2;3;5;1
STU_0324;3;4;2;4;4;4;3;2;3;1
STU_0325;4;4;4;5;3;4;3;4;4;4
STU_0326;5;5;4;5;3;4;5;4;4;2
STU_0327;4;4;4;3;2;2;4;3;3;3
STU_0328;4;4;2;3;5;3;2;3;4;4
STU_0329;4;4;2;5;3;4;4;3;4;4
STU_0330;3;4;4;3;4;5;4;3;4;3
STU_0331;4;4;5;3;3;5;4;3;4;4
STU_0332;4;5;5;5;2;4;4;4;4;2
STU_0333;4;5;3;3;3;3;4;2;5;3
STU_0334;5;5;4;4;3;4;5;1;2;3
STU_0335;5;5;3;3;3;3;3;3;5;3
STU_0336;5;5;3;5;4;4;3;3;3;5
STU_0337;5;5;3;4;2;4;4;3;4;3
STU_0338;4;4;3;4;3;4;3;1;4;4
STU_0339;5;4;3;3;4;5;2;3;3;2
STU_0340;4;4;2;4;4;5;3;1;3;4
STU_0341;4;5;2;4;3;3;4;3;3;4
STU_0342;4;4;3;4;2;3;3;4;3;4
STU_0343;5;4;4;4;3;4;3;2;4;2
STU_0344;4;5;3;5;3;3;3;3;4;2
STU_0345;4;4;4;4;3;4;3;3;3;4
STU_0346;4;4;4;4;3;2;3;2;3;3
STU_0347;3;4;3;5;3;3;4;3;5;3
STU_0348;3;4;3;4;2;5;4;3;4;3
STU_0349;3;5;5;4;3;2;4;4;5;3
STU_0350;4;3;3;3;3;3;3;3;1;3
STU_0351;4;4;5;3;3;3;3;3;4;5
STU_0352;5;4;5;4;3;4;5;3;3;4
STU_0353;5;5;4;4;3;2;4;3;4;3
STU_0354;4;3;3;4;4;3;3;3;4;3
STU_0355;5;4;4;3;3;3;3;3;5;3
STU_0356;4;3;4;5;4;3;5;2;5;3
STU_0357;3;4;4;4;2;5;3;4;5;1
STU_0358;5;5;2;2;4;4;3;4;4;1
STU_0359;3;5;4;3;4;4;2;4;5;3
STU_0360;3;5;5;5;4;4;4;2;3;3
STU_0361;4;4;3;2;4;3;2;5;5;3
STU_0362;3;5;4;4;3;3;3;3;4;4
STU_0363;3;4;4;5;2;4;4;3;3;2
STU_0364;4;4;5;4;4;3;2;3;3;3
STU_0365;3;4;3;4;2;2;4;2;5;2
STU_0366;3;4;3;4;3;4;3;2;5;3
STU_0367;4;4;3;2;4;3;3;4;5;4
STU_0368;3;5;4;4;2;4;3;3;5;2
STU_0369;3;5;3;5;3;4;3;3;5;4
STU_0370;4;3;4;4;4;2;3;2;4;3
STU_0371;4;3;4;4;3;4;1;3;3;4
STU_0372;5;3;4;3;3;4;4;3;4;2
STU_0373;2;5;4;3;3;3;4;3;4;3
STU_0374;4;4;3;2;4;5;2;3;5;3
STU_0375;3;5;4;4;3;4;3;4;5;4
STU_0376;4;2;3;5;4;4;3;4;3;3
STU_0377;5;4;4;2;3;4;4;5;4;4
STU_0378;4;4;4;4;3;4;3;2;4;4
STU_0379;4;4;3;4;2;5;4;2;4;4
STU_0380;2;3;2;3;4;5;3;4;4;4
STU_0381;4;5;5;3;3;3;3;3;4;2
STU_0382;4;4;2;5;3;4;1;3;4;2
STU_0383;3;4;4;4;2;4;2;2;4;2
STU_0384;5;4;4;4;3;3;3;4;4;4
STU_0385;4;3;3;5;2;3;4;2;4;3
STU_0386;4;4;3;4;3;3;4;4;5;2
STU_0387;3;5;4;3;4;4;4;2;5;4
STU_0388;3;4;3;3;3;3;2;2;5;3
STU_0389;4;5;2;4;5;4;2;3;5;3
STU_0390;4;4;3;3;3;4;2;5;2;2
STU_0391;4;5;3;4;4;4;4;1;4;3
STU_0392;5;4;4;5;4;4;4;3;5;4
STU_0393;3;4;2;4;4;3;4;3;5;2
STU_0394;5;4;3;4;3;4;4;4;5;2
STU_0395;3;4;3;4;2;3;3;4;5;2
STU_0396;3;4;4;4;3;4;3;3;5;3
STU_0397;4;3;4;4;3;4;4;3;4;3
STU_0398;4;4;3;3;3;4;4;3;4;3
STU_0399;5;4;4;4;3;4;2;4;3;3
STU_0400;5;4;4;4;5;4;3;3;4;2
STU_0401;3;4;4;5;3;5;2;3;4;2
STU_0402;3;4;3;3;4;3;3;3;4;4
STU_0403;4;4;5;4;3;3;4;2;4;3
STU_0404;5;3;3;3;2;4;3;2;3;2
STU_0405;5;4;4;5;3;3;3;4;5;2
STU_0406;4;5;4;4;3;4;3;4;3;2
STU_0407;3;4;2;2;4;3;3;3;5;3
STU_0408;4;4;4;4;5;3;4;2;3;1
STU_0409;5;4;4;5;2;3;3;1;4;4
STU_0410;4;3;3;4;4;5;3;3;4;2
STU_0411;5;4;5;4;1;4;4;3;5;3
STU_0412;3;5;2;3;3;3;3;3;5;1
STU_0413;4;4;3;4;4;4;2;4;3;4
STU_0414;3;5;4;2;3;5;4;2;5;3
STU_0415;5;4;3;4;3;4;3;4;5;4
STU_0416;3;3;3;4;2;4;3;4;5;2
STU_0417;3;5;4;4;5;4;2;2;4;3
STU_0418;5;5;5;3;2;2;3;4;3;2
STU_0419;5;4;3;3;2;4;2;4;4;3
STU_0420;4;5;3;4;3;2;4;5;5;3
STU_0421;4;4;4;4;1;2;4;3;3;2
STU_0422;4;4;5;3;4;4;3;4;4;2
STU_0423;4;5;3;5;4;4;3;2;4;3
STU_0424;5;4;3;4;3;4;4;4;4;4
STU_0425;4;5;5;3;3;5;3;2;4;2
STU_0426;4;5;5;5;3;5;2;2;3;2
STU_0427;5;5;5;2;4;5;4;3;4;2
STU_0428;4;3;4;3;3;3;3;4;5;2
STU_0429;4;3;3;3;2;5;3;2;4;4
STU_0430;5;5;3;4;2;4;4;4;3;4
STU_0431;4;4;4;5;4;3;3;3;3;4
STU_0432;4;4;3;4;4;4;3;4;4;2
STU_0433;4;3;2;3;2;4;2;3;4;4
STU_0434;4;4;5;5;3;5;3;3;5;4
STU_0435;5;4;5;4;3;4;4;4;5;2
STU_0436;3;4;3;4;4;4;5;4;4;1
STU_0437;5;4;4;4;5;4;3;1;4;3
STU_0438;4;4;3;2;3;3;3;3;4;2
STU_0439;4;5;3;3;4;4;3;2;3;3
STU_0440;3;3;3;4;3;3;5;3;4;5
STU_0441;5;4;2;3;4;4;3;3;4;2
STU_0442;4;4;4;3;4;4;2;4;5;5
STU_0443;5;4;4;5;3;3;3;2;3;2
STU_0444;4;3;4;3;4;5;4;4;3;3
STU_0445;5;5;4;3;4;2;2;2;4;4
STU_0446;3;3;4;4;3;5;3;2;5;3
STU_0447;4;4;3;3;4;3;4;2;5;5
STU_0448;3;4;4;3;5;4;3;3;4;3
STU_0449;4;4;4;3;5;4;5;4;3;3
STU_0450;3;4;3;3;3;3;5;3;4;3
STU_0451;4;3;5;3;4;5;2;3;4;3
STU_0452;4;4;3;5;3;4;2;3;4;4
STU_0453;3;4;5;3;2;3;3;4;4;2
STU_0454;4;5;4;3;2;5;3;4;4;4
STU_0455;4;4;4;3;3;4;3;2;4;4
STU_0456;4;5;3;4;5;3;3;1;4;3
STU_0457;4;4;3;4;2;4;2;3;3;3
STU_0458;3;4;3;4;2;4;2;4;5;3
STU_0459;5;5;3;3;3;4;3;3;3;4
STU_0460;5;5;4;5;2;4;2;2;5;3
STU_0461;4;5;3;3;3;5;4;4;4;3
STU_0462;4;4;4;3;4;5;2;5;5;4
STU_0463;3;4;4;4;2;3;3;2;4;2
STU_0464;4;3;4;5;4;3;3;2;5;3
STU_0465;3;3;2;4;2;4;3;4;4;4
STU_0466;3;4;3;4;2;3;3;3;4;3
STU_0467;3;5;4;3;4;3;3;2;4;3
STU_0468;3;3;3;5;4;3;3;4;4;2
STU_0469;5;3;3;3;4;4;3;2;4;3
STU_0470;4;4;3;5;4;4;4;3;3;3
STU_0471;4;5;3;3;5;5;4;2;4;2
STU_0472;4;4;3;3;4;5;5;3;4;3
STU_0473;3;3;2;3;4;4;3;3;5;3
STU_0474;3;4;5;4;5;3;3;2;5;3
STU_0475;4;4;4;4;3;4;3;2;4;3
STU_0476;3;5;4;4;3;4;3;4;3;3
STU_0477;4;5;3;3;2;4;5;3;3;3
STU_0478;5;5;3;4;3;5;5;4;3;2
STU_0479;5;4;3;3;3;3;4;3;3;3
STU_0480;5;5;4;5;2;4;5;5;4;3
STU_0481;3;4;3;4;3;5;4;3;4;3
STU_0482;5;4;4;2;3;4;3;2;4;2
STU_0483;4;5;3;5;3;2;4;3;5;3
STU_0484;4;5;2;3;3;3;2;4;3;3
STU_0485;5;4;3;4;3;4;4;2;4;3
STU_0486;4;4;3;4;3;5;3;3;5;4
STU_0487;3;5;4;5;3;4;3;2;4;5
STU_0488;4;4;3;4;3;4;2;3;2;1
STU_0489;4;5;5;4;4;4;4;3;4;2
STU_0490;4;4;3;4;2;4;4;3;4;2
STU_0491;5;5;4;5;3;3;4;4;3;4
STU_0492;3;5;4;5;4;3;3;4;5;3
STU_0493;4;4;3;4;2;4;5;2;4;2
STU_0494;4;4;4;4;3;3;3;3;4;4
STU_0495;4;4;4;2;5;2;4;3;3;3
STU_0496;3;4;4;4;2;4;3;3;4;2
STU_0497;3;4;4;3;4;4;4;3;3;3
STU_0498;4;3;3;4;1;3;5;3;5;3
STU_0499;5;3;4;4;4;3;2;3;5;3
STU_0500;5;4;5;5;4;4;5;3;4;4
STU_0501;5;5;4;4;2;3;4;3;4;2
STU_0502;5;5;3;5;4;2;3;4;3;2
STU_0503;4;5;3;3;2;4;2;2;5;2
STU_0504;4;5;3;4;4;4;3;2;4;3
STU_0505;2;3;3;4;3;3;4;3;5;2
STU_0506;4;5;4;4;2;4;3;3;3;2
STU_0507;5;5;4;4;4;5;5;2;4;3
STU_0508;4;4;3;5;2;5;4;4;5;3
STU_0509;5;5;4;4;3;4;4;2;5;4
STU_0510;4;5;4;4;3;4;2;5;3;4
STU_0511;3;4;4;4;4;4;3;3;3;2
STU_0512;3;4;2;3;4;4;4;4;3;2
STU_0513;5;3;4;4;5;3;3;4;5;3
STU_0514;4;4;4;2;5;4;2;3;3;3
STU_0515;4;5;3;2;3;4;3;3;2;2
STU_0516;3;5;3;2;2;5;3;2;4;3
STU_0517;4;5;4;5;3;3;5;4;3;3
STU_0518;4;4;4;4;3;4;3;3;4;3
STU_0519;5;5;4;3;2;5;4;4;4;3
STU_0520;4;4;4;5;2;4;3;4;4;4
STU_0521;4;4;4;4;2;2;3;3;5;3
STU_0522;3;4;4;5;4;4;4;2;4;4
STU_0523;2;4;5;3;1;4;4;3;4;2
STU_0524;3;4;3;4;4;3;4;3;3;3
STU_0525;4;4;4;4;3;4;3;3;4;3
STU_0526;4;3;3;3;2;3;2;3;4;4
STU_0527;5;3;3;3;3;4;3;1;5;3
STU_0528;4;4;4;2;2;5;3;4;3;5
STU_0529;5;4;3;5;3;4;3;2;4;3
STU_0530;2;5;5;4;4;3;3;4;5;3
STU_0531;4;5;4;4;3;5;3;2;4;2
