student_id;gender;age;age_group;mobility_restriction;student_status;campus;distance_km;distance_category;archetype;max_budget_eur;max_travel_time_min;max_walking_distance_m;environmental_attitude
STU_0053;Female;19;18-25;No;Student;Strasbourg;4.21;Medium;Time_Sensitive;5.66;33.9;968;4
STU_0054;Female;18;18-25;No;Alternance;Nancy;2.76;Medium;Time_Sensitive;3.96;35.8;1244;4
STU_0055;Male;22;18-25;No;Alternance;Strasbourg;5.04;Long;Comfort_Seeking;3.73;44.0;1434;4
STU_0056;Female;21;18-25;No;Alternance;Strasbourg;4.14;Medium;Cost_Sensitive;7.2;32.3;1594;3
STU_0057;Male;35;26-35;No;Alternance;Strasbourg;2.62;Medium;Time_Sensitive;5.71;23.9;811;1
STU_0058;Male;46;46-55;No;Student;Strasbourg;15.45;Long;Eco_Conscious;12.57;90.0;751;3
STU_0059;Male;42;36-45;No;Student;Strasbourg;2.38;Medium;Time_Sensitive;2.37;23.8;1383;2
STU_0060;Male;24;18-25;No;Employee;Other;1.13;Short;Eco_Conscious;1.47;23.3;1424;5
STU_0061;Male;21;18-25;No;Alternance;Strasbourg;10.64;Long;Comfort_Seeking;11.64;78.5;730;1
STU_0062;Male;45;36-45;No;Alternance;Strasbourg;2.99;Medium;Comfort_Seeking;4.93;25.4;779;3
STU_0063;Female;32;26-35;No;Student;Nancy;3.54;Medium;Cost_Sensitive;4.59;31.2;1132;2
STU_0064;Male;22;18-25;No;Alternance;Nancy;3.41;Medium;Cost_Sensitive;4.89;33.7;1208;2
STU_0065;Male;42;36-45;Yes;Alternance;Strasbourg;3.02;Medium;Time_Sensitive;1.75;30.4;465;4
STU_0066;Male;33;26-35;No;Employee;Strasbourg;2.69;Medium;Time_Sensitive;4.47;28.6;724;4
STU_0067;Male;18;18-25;No;Student;Strasbourg;2.35;Medium;Cost_Sensitive;3.32;16.3;1215;1
STU_0068;Female;19;18-25;No;Alternance;Strasbourg;4.37;Medium;Cost_Sensitive;3.99;29.8;949;1
STU_0069;Male;22;18-25;No;Alternance;Strasbourg;3.33;Medium;Comfort_Seeking;1.57;25.8;792;2
STU_0070;Other_NA;19;18-25;No;Student;Strasbourg;6.46;Long;Comfort_Seeking;7.04;51.6;1196;4
STU_0071;Female;25;18-25;No;Alternance;Other;5.59;Long;Cost_Sensitive;6.89;34.6;1160;4
STU_0072;Male;29;26-35;No;Alternance;Nancy;2.45;Medium;Time_Sensitive;1.0;31.1;1481;1
STU_0073;Male;21;18-25;No;Employee;Strasbourg;4.49;Medium;Time_Sensitive;5.35;38.6;899;4
STU_0074;Female;21;18-25;No;Student;Strasbourg;3.3;Medium;Cost_Sensitive;4.53;33.9;1282;4
STU_0075;Female;23;18-25;No;Student;Strasbourg;2.36;Medium;Eco_Conscious;2.51;18.3;651;5
STU_0076;Female;24;18-25;No;Student;Strasbourg;6.31;Long;Eco_Conscious;7.55;45.1;1104;5
STU_0077;Female;36;36-45;No;Student;Strasbourg;3.92;Medium;Comfort_Seeking;4.59;33.1;1362;3
STU_0078;Male;21;18-25;No;Student;Nancy;3.32;Medium;Eco_Conscious;4.83;29.5;1392;2
STU_0079;Male;25;18-25;No;Alternance;Strasbourg;2.55;Medium;Time_Sensitive;4.63;25.5;1394;3
STU_0080;Male;35;26-35;No;Student;Strasbourg;2.31;Medium;Eco_Conscious;4.43;21.3;1482;4
STU_0081;Female;24;18-25;No;Employee;Nancy;13.5;Long;Cost_Sensitive;14.81;84.9;1044;5
STU_0082;Male;20;18-25;No;Employee;Strasbourg;5.12;Long;Eco_Conscious;6.46;43.3;1374;4
STU_0083;Male;22;18-25;No;Alternance;Strasbourg;2.22;Medium;Time_Sensitive;2.53;16.4;1854;3
STU_0084;Male;24;18-25;No;Employee;Strasbourg;4.99;Medium;Cost_Sensitive;4.58;45.2;1037;3
STU_0085;Male;23;18-25;No;Alternance;Strasbourg;7.85;Long;Cost_Sensitive;6.26;58.1;1683;3
STU_0086;Male;23;18-25;No;Alternance;Other;4.65;Medium;Time_Sensitive;5.72;30.7;1507;3
STU_0087;Female;22;18-25;No;Student;Strasbourg;9.42;Long;Comfort_Seeking;11.89;63.7;1107;4
STU_0088;Female;44;36-45;No;Student;Strasbourg;1.71;Short;Time_Sensitive;2.31;23.9;1076;1
STU_0089;Female;19;18-25;Yes;Alternance;Strasbourg;1.31;Short;Time_Sensitive;3.42;11.0;817;3
STU_0090;Male;18;18-25;No;Alternance;Other;4.91;Medium;Time_Sensitive;4.32;37.2;1487;4
STU_0091;Male;24;18-25;No;Student;Strasbourg;4.95;Medium;Eco_Conscious;6.06;36.8;1341;1
STU_0092;Female;19;18-25;No;Alternance;Strasbourg;0.6;Short;Cost_Sensitive;4.28;10.1;1034;2
STU_0093;Female;25;18-25;No;Alternance;Strasbourg;2.92;Medium;Comfort_Seeking;5.22;26.5;471;3
STU_0094;Male;19;18-25;No;Student;Strasbourg;2.33;Medium;Comfort_Seeking;1.0;19.8;1435;5
STU_0095;Female;45;36-45;Yes;Employee;Strasbourg;1.86;Short;Eco_Conscious;4.11;27.1;497;4
STU_0096;Male;25;18-25;No;Alternance;Strasbourg;2.33;Medium;Eco_Conscious;4.59;19.7;722;1
STU_0097;Male;25;18-25;No;Student;Strasbourg;5.97;Long;Cost_Sensitive;6.89;46.8;1059;4
STU_0098;Male;25;18-25;No;Alternance;Strasbourg;2.32;Medium;Time_Sensitive;4.67;14.5;775;3
STU_0099;Male;52;46-55;No;Student;Nancy;2.37;Medium;Comfort_Seeking;2.01;22.2;1131;4
STU_0100;Male;19;18-25;No;Alternance;Strasbourg;1.63;Short;Cost_Sensitive;3.0;19.0;1096;4
STU_0101;Male;20;18-25;No;Student;Strasbourg;8.86;Long;Time_Sensitive;11.03;57.8;1475;5
STU_0102;Female;22;18-25;No;Student;Strasbourg;5.43;Long;Eco_Conscious;7.95;37.9;637;4
STU_0103;Male;29;26-35;No;Employee;Other;0.98;Short;Time_Sensitive;3.32;12.1;968;5
STU_0104;Male;19;18-25;Yes;Alternance;Strasbourg;2.37;Medium;Comfort_Seeking;1.93;26.8;509;5
STU_0105;Female;33;26-35;No;Student;Nancy;5.74;Long;Cost_Sensitive;4.51;46.6;1215;5
STU_0106;Male;20;18-25;No;Student;Nancy;8.92;Long;Eco_Conscious;9.29;58.6;1443;4
STU_0107;Male;21;18-25;No;Alternance;Strasbourg;6.89;Long;Time_Sensitive;7.68;42.4;880;3
STU_0108;Female;21;18-25;No;Student;Other;3.42;Medium;Eco_Conscious;4.23;37.8;1036;3
STU_0109;Male;24;18-25;No;Student;Strasbourg;1.36;Short;Time_Sensitive;1.21;13.1;1378;1
STU_0110;Male;19;18-25;No;Student;Strasbourg;7.01;Long;Time_Sensitive;8.25;41.3;431;3
STU_0111;Male;18;18-25;No;Student;Nancy;3.54;Medium;Comfort_Seeking;4.71;19.4;1335;4
STU_0112;Male;27;26-35;No;Alternance;Strasbourg;4.38;Medium;Time_Sensitive;5.74;34.6;1467;4
STU_0113;Female;20;18-25;No;Alternance;Strasbourg;3.8;Medium;Time_Sensitive;5.8;29.8;733;5
STU_0114;Female;21;18-25;No;Student;Strasbourg;1.9;Short;Time_Sensitive;2.62;25.6;1090;2
STU_0115;Female;19;18-25;No;Alternance;Strasbourg;5.21;Long;Eco_Conscious;5.05;41.7;1722;2
STU_0116;Female;18;18-25;No;Student;Nancy;4.81;Medium;Time_Sensitive;7.58;37.9;1431;4
STU_0117;Female;24;18-25;No;Employee;Strasbourg;3.28;Medium;Comfort_Seeking;2.92;26.7;1356;3
STU_0118;Male;19;18-25;No;Employee;Strasbourg;5.55;Long;Time_Sensitive;5.37;46.1;1547;2
STU_0119;Female;22;18-25;No;Student;Strasbourg;1.88;Short;Time_Sensitive;5.32;29.7;1832;5
STU_0120;Male;26;26-35;No;Alternance;Strasbourg;3.6;Medium;Comfort_Seeking;3.58;34.8;1206;4
STU_0121;Female;38;36-45;No;Alternance;Nancy;4.28;Medium;Comfort_Seeking;4.96;31.2;1057;3
STU_0122;Female;21;18-25;No;Student;Strasbourg;1.52;Short;Comfort_Seeking;2.05;22.3;1546;5
STU_0123;Male;19;18-25;No;Student;Other;4.07;Medium;Comfort_Seeking;1.75;30.4;1134;4
STU_0124;Male;18;18-25;No;Student;Strasbourg;6.47;Long;Time_Sensitive;6.78;40.1;875;4
STU_0125;Male;24;18-25;Yes;Alternance;Strasbourg;3.53;Medium;Cost_Sensitive;2.68;24.9;637;5
STU_0126;Male;22;18-25;No;Employee;Strasbourg;4.13;Medium;Cost_Sensitive;5.47;30.9;1309;2
STU_0127;Female;18;18-25;No;Alternance;Strasbourg;5.85;Long;Eco_Conscious;8.46;42.7;1043;4
STU_0128;Female;31;26-35;No;Alternance;Strasbourg;3.36;Medium;Comfort_Seeking;1.0;38.8;1069;1
STU_0129;Male;25;18-25;No;Alternance;Strasbourg;3.54;Medium;Cost_Sensitive;3.78;25.1;840;1
STU_0130;Male;22;18-25;No;Alternance;Strasbourg;2.11;Medium;Cost_Sensitive;4.11;28.2;1702;5
STU_0131;Male;24;18-25;No;Alternance;Other;4.17;Medium;Cost_Sensitive;1.11;31.3;1080;4
STU_0132;Male;20;18-25;No;Student;Strasbourg;3.46;Medium;Comfort_Seeking;6.85;18.9;951;4
STU_0133;Male;21;18-25;No;Alternance;Strasbourg;5.64;Long;Time_Sensitive;6.98;38.5;988;5
STU_0134;Male;24;18-25;No;Alternance;Strasbourg;5.86;Long;Time_Sensitive;8.43;48.1;1481;5
STU_0135;Female;25;18-25;No;Student;Strasbourg;6.7;Long;Time_Sensitive;6.18;48.6;1401;5
STU_0136;Male;35;26-35;No;Alternance;Strasbourg;3.13;Medium;Comfort_Seeking;3.36;29.2;1024;4
STU_0137;Male;18;18-25;No;Student;Nancy;1.18;Short;Eco_Conscious;2.21;23.1;1211;3
STU_0138;Female;23;18-25;No;Student;Other;6.5;Long;Eco_Conscious;10.87;40.6;1297;2
STU_0139;Male;22;18-25;No;Alternance;Strasbourg;5.42;Long;Cost_Sensitive;8.48;34.6;954;3
STU_0140;Female;22;18-25;No;Student;Strasbourg;2.9;Medium;Time_Sensitive;4.2;14.6;661;3
STU_0141;Female;18;18-25;No;Student;Strasbourg;5.83;Long;Eco_Conscious;6.91;46.5;1380;4
STU_0142;Male;34;26-35;No;Student;Strasbourg;1.8;Short;Comfort_Seeking;4.17;22.7;973;4
STU_0143;Male;27;26-35;No;Alternance;Strasbourg;7.7;Long;Cost_Sensitive;12.35;56.0;1354;5
STU_0144;Male;28;26-35;No;Student;Strasbourg;3.46;Medium;Cost_Sensitive;5.13;23.1;1312;4
STU_0145;Male;24;18-25;No;Alternance;Strasbourg;2.59;Medium;Cost_Sensitive;3.78;16.2;1220;4
STU_0146;Male;22;18-25;No;Student;Strasbourg;2.93;Medium;Time_Sensitive;3.38;19.5;1051;3
STU_0147;Male;19;18-25;No;Employee;Nancy;3.68;Medium;Comfort_Seeking;5.05;25.6;978;1
STU_0148;Male;20;18-25;No;Employee;Strasbourg;4.18;Medium;Cost_Sensitive;4.0;40.8;802;3
STU_0149;Male;35;26-35;No;Student;Strasbourg;4.33;Medium;Time_Sensitive;6.07;38.8;985;4
STU_0150;Male;23;18-25;No;Student;Strasbourg;3.27;Medium;Time_Sensitive;1.7;25.7;1399;3
STU_0151;Female;22;18-25;No;Student;Strasbourg;4.74;Medium;Cost_Sensitive;5.06;37.6;1689;4
STU_0152;Male;24;18-25;No;Alternance;Nancy;4.23;Medium;Time_Sensitive;6.42;29.9;1638;4
STU_0153;Male;18;18-25;No;Student;Nancy;2.88;Medium;Cost_Sensitive;4.61;27.7;1251;3
STU_0154;Male;18;18-25;No;Student;Nancy;2.64;Medium;Time_Sensitive;2.91;18.8;1689;3
STU_0155;Other_NA;20;18-25;No;Student;Strasbourg;6.01;Long;Eco_Conscious;6.19;46.8;1093;4
STU_0156;Male;24;18-25;No;Student;Strasbourg;5.73;Long;Time_Sensitive;8.23;37.3;748;3
STU_0157;Female;33;26-35;No;Student;Strasbourg;4.35;Medium;Cost_Sensitive;3.02;38.0;1872;4
STU_0158;Female;28;26-35;No;Alternance;Nancy;7.24;Long;Comfort_Seeking;5.49;47.7;1386;4
STU_0159;Male;21;18-25;No;Employee;Strasbourg;1.33;Short;Eco_Conscious;1.0;13.4;663;4
STU_0160;Female;19;18-25;No;Student;Other;3.03;Medium;Eco_Conscious;4.06;34.7;1746;5
STU_0161;Male;23;18-25;No;Alternance;Other;2.14;Medium;Cost_Sensitive;1.0;22.7;940;4
STU_0162;Female;19;18-25;No;Student;Strasbourg;15.8;Long;Cost_Sensitive;16.65;90.0;1016;5
STU_0163;Female;25;18-25;No;Alternance;Strasbourg;6.4;Long;Cost_Sensitive;5.28;49.0;1557;3
STU_0164;Male;24;18-25;No;Alternance;Strasbourg;4.02;Medium;Cost_Sensitive;5.32;25.4;1677;4
STU_0165;Male;22;18-25;No;Alternance;Nancy;6.67;Long;Time_Sensitive;6.13;52.2;850;3
STU_0166;Female;23;18-25;No;Employee;Strasbourg;8.1;Long;Comfort_Seeking;8.27;53.9;1715;3
STU_0167;Male;21;18-25;No;Student;Nancy;8.05;Long;Time_Sensitive;5.46;57.3;1506;3
STU_0168;Male;25;18-25;No;Alternance;Strasbourg;7.23;Long;Time_Sensitive;9.45;42.0;920;4
STU_0169;Male;40;36-45;No;Alternance;Strasbourg;3.61;Medium;Eco_Conscious;2.84;27.9;1114;3
STU_0170;Male;26;26-35;No;Student;Nancy;3.14;Medium;Cost_Sensitive;2.25;27.3;1731;3
STU_0171;Female;21;18-25;No;Employee;Strasbourg;2.4;Medium;Eco_Conscious;7.82;28.4;654;5
STU_0172;Male;28;26-35;No;Student;Strasbourg;5.65;Long;Eco_Conscious;7.3;44.5;1683;5
STU_0173;Male;18;18-25;No;Alternance;Strasbourg;3.84;Medium;Eco_Conscious;6.5;29.2;1496;4
STU_0174;Male;33;26-35;No;Student;Strasbourg;3.3;Medium;Comfort_Seeking;5.13;29.7;1378;4
STU_0175;Female;26;26-35;No;Student;Nancy;3.2;Medium;Time_Sensitive;3.41;33.9;1246;5
STU_0176;Male;20;18-25;No;Alternance;Strasbourg;9.85;Long;Time_Sensitive;7.52;63.2;1890;4
STU_0177;Female;23;18-25;No;Alternance;Other;7.36;Long;Comfort_Seeking;7.22;48.9;1941;3
STU_0178;Male;18;18-25;No;Student;Nancy;12.31;Long;Eco_Conscious;10.2;68.3;985;5
STU_0179;Female;24;18-25;No;Student;Strasbourg;5.74;Long;Time_Sensitive;4.73;40.2;1414;4
STU_0180;Male;21;18-25;No;Alternance;Strasbourg;4.35;Medium;Comfort_Seeking;2.35;25.2;1856;3
STU_0181;Male;22;18-25;No;Student;Strasbourg;4.15;Medium;Cost_Sensitive;5.23;32.3;925;4
STU_0182;Male;18;18-25;No;Student;Strasbourg;2.32;Medium;Comfort_Seeking;6.3;27.7;1285;3
STU_0183;Female;27;26-35;No;Alternance;Other;2.01;Medium;Cost_Sensitive;4.21;10.5;1551;5
STU_0184;Female;40;36-45;Yes;Alternance;Strasbourg;5.67;Long;Eco_Conscious;6.13;47.4;742;3
STU_0185;Male;21;18-25;No;Student;Strasbourg;2.44;Medium;Comfort_Seeking;3.5;21.8;1490;5
STU_0186;Female;20;18-25;No;Alternance;Strasbourg;4.77;Medium;Cost_Sensitive;1.0;36.1;819;5
STU_0187;Female;25;18-25;No;Alternance;Strasbourg;8.1;Long;Time_Sensitive;7.62;52.0;1267;4
STU_0188;Male;22;18-25;No;Alternance;Strasbourg;2.85;Medium;Time_Sensitive;1.35;17.1;1601;4
STU_0189;Male;43;36-45;Yes;Alternance;Nancy;13.68;Long;Comfort_Seeking;13.37;81.3;439;3
STU_0190;Male;23;18-25;Yes;Student;Strasbourg;2.36;Medium;Comfort_Seeking;3.04;33.5;743;1
STU_0191;Male;25;18-25;No;Student;Strasbourg;7.52;Long;Eco_Conscious;6.33;45.9;1913;2
STU_0192;Female;19;18-25;No;Student;Strasbourg;5.4;Long;Eco_Conscious;6.29;31.8;1013;4
STU_0193;Female;20;18-25;No;Alternance;Strasbourg;8.48;Long;Comfort_Seeking;8.89;57.3;1402;4
STU_0194;Female;23;18-25;No;Student;Strasbourg;2.19;Medium;Time_Sensitive;6.1;21.6;1667;2
STU_0195;Male;35;26-35;No;Alternance;Strasbourg;16.27;Long;Time_Sensitive;16.57;90.0;642;3
STU_0196;Male;20;18-25;No;Student;Strasbourg;3.79;Medium;Eco_Conscious;5.11;30.9;1465;5
STU_0197;Female;23;18-25;No;Student;Strasbourg;6.26;Long;Time_Sensitive;5.12;47.7;1558;3
STU_0198;Female;23;18-25;No;Alternance;Strasbourg;9.82;Long;Cost_Sensitive;7.91;61.1;1424;5
STU_0199;Female;37;36-45;Yes;Student;Strasbourg;2.96;Medium;Cost_Sensitive;5.09;27.3;523;3
STU_0200;Female;32;26-35;No;Student;Other;6.83;Long;Cost_Sensitive;6.95;52.7;850;4
STU_0201;Female;21;18-25;No;Alternance;Other;2.68;Medium;Comfort_Seeking;4.23;19.8;1687;1
STU_0202;Male;19;18-25;No;Student;Strasbourg;9.55;Long;Time_Sensitive;11.38;50.9;1212;4
STU_0203;Male;23;18-25;No;Alternance;Nancy;2.7;Medium;Eco_Conscious;1.07;28.2;884;4
STU_0204;Female;18;18-25;No;Alternance;Nancy;4.31;Medium;Time_Sensitive;7.68;46.2;1089;3
STU_0205;Male;38;36-45;Yes;Student;Strasbourg;5.04;Long;Time_Sensitive;7.53;37.7;502;4
STU_0206;Male;19;18-25;No;Alternance;Strasbourg;6.67;Long;Time_Sensitive;3.47;47.7;654;4
STU_0207;Male;24;18-25;No;Student;Nancy;13.35;Long;Eco_Conscious;17.08;81.9;1206;4
STU_0208;Female;23;18-25;No;Student;Strasbourg;3.23;Medium;Eco_Conscious;4.82;35.7;1054;4
STU_0209;Male;21;18-25;No;Student;Strasbourg;8.21;Long;Comfort_Seeking;7.62;54.8;1668;3
STU_0210;Male;25;18-25;No;Student;Nancy;13.36;Long;Eco_Conscious;13.79;82.5;544;4
STU_0211;Male;31;26-35;No;Employee;Strasbourg;4.64;Medium;Eco_Conscious;3.68;40.1;1529;5
STU_0212;Female;21;18-25;No;Student;Strasbourg;3.05;Medium;Eco_Conscious;5.08;24.4;1696;5
STU_0213;Female;19;18-25;No;Alternance;Other;1.53;Short;Comfort_Seeking;1.37;12.0;557;5
STU_0214;Male;21;18-25;No;Alternance;Strasbourg;12.7;Long;Eco_Conscious;15.93;84.3;599;3
STU_0215;Female;22;18-25;No;Alternance;Strasbourg;3.65;Medium;Cost_Sensitive;4.71;27.1;1825;4
STU_0216;Male;22;18-25;No;Student;Strasbourg;2.34;Medium;Time_Sensitive;4.66;18.0;883;4
STU_0217;Male;22;18-25;No;Student;Strasbourg;1.9;Short;Eco_Conscious;1.7;31.0;2283;2
STU_0218;Female;34;26-35;No;Alternance;Nancy;2.34;Medium;Eco_Conscious;4.96;22.0;568;5
STU_0219;Female;24;18-25;No;Student;Strasbourg;7.22;Long;Cost_Sensitive;7.61;52.2;1260;4
STU_0220;Female;25;18-25;No;Student;Strasbourg;7.83;Long;Comfort_Seeking;5.61;53.2;1192;3
STU_0221;Female;19;18-25;No;Student;Strasbourg;6.17;Long;Comfort_Seeking;6.31;39.5;1127;2
STU_0222;Male;23;18-25;No;Student;Strasbourg;4.55;Medium;Cost_Sensitive;8.84;38.5;1362;5
STU_0223;Male;51;46-55;No;Alternance;Strasbourg;2.03;Medium;Comfort_Seeking;4.77;22.7;1217;2
STU_0224;Male;26;26-35;No;Student;Nancy;2.75;Medium;Cost_Sensitive;3.16;21.8;1141;2
STU_0225;Male;25;18-25;No;Student;Strasbourg;2.2;Medium;Cost_Sensitive;1.0;24.3;845;3
STU_0226;Male;21;18-25;No;Student;Strasbourg;5.89;Long;Cost_Sensitive;5.01;39.8;1567;2
STU_0227;Female;25;18-25;No;Alternance;Strasbourg;2.26;Medium;Cost_Sensitive;1.0;16.9;1420;5
STU_0228;Male;21;18-25;No;Alternance;Nancy;2.77;Medium;Comfort_Seeking;1.0;19.2;1240;4
STU_0229;Female;20;18-25;No;Student;Nancy;3.78;Medium;Cost_Sensitive;6.13;32.1;1409;4
STU_0230;Female;25;18-25;No;Alternance;Other;1.58;Short;Cost_Sensitive;2.96;16.8;1469;5
STU_0231;Female;23;18-25;No;Alternance;Nancy;4.33;Medium;Cost_Sensitive;8.41;41.3;933;4
STU_0232;Male;22;18-25;No;Alternance;Nancy;3.96;Medium;Time_Sensitive;3.07;31.6;1396;3
STU_0233;Male;32;26-35;No;Alternance;Strasbourg;8.43;Long;Cost_Sensitive;8.66;52.4;1006;4
STU_0234;Male;21;18-25;No;Student;Strasbourg;2.6;Medium;Eco_Conscious;1.2;25.1;1481;3
STU_0235;Male;20;18-25;No;Student;Strasbourg;1.97;Short;Cost_Sensitive;2.1;14.4;1133;3
STU_0236;Female;33;26-35;Yes;Student;Nancy;3.38;Medium;Comfort_Seeking;3.97;28.2;579;4
STU_0237;Male;23;18-25;No;Student;Nancy;2.21;Medium;Comfort_Seeking;2.7;23.8;1048;5
STU_0238;Male;22;18-25;No;Employee;Strasbourg;4.31;Medium;Cost_Sensitive;5.26;34.7;1432;4
STU_0239;Female;21;18-25;No;Student;Nancy;1.42;Short;Comfort_Seeking;4.46;24.3;857;5
STU_0240;Male;25;18-25;No;Student;Strasbourg;2.95;Medium;Cost_Sensitive;5.57;39.2;1213;4
STU_0241;Female;33;26-35;No;Alternance;Strasbourg;2.44;Medium;Cost_Sensitive;2.19;26.8;1543;4
STU_0242;Female;26;26-35;No;Alternance;Strasbourg;5.87;Long;Cost_Sensitive;6.43;48.2;1364;5
