student_id;Time_vs_Cost;Time_vs_Emissions;Time_vs_Comfort;Cost_vs_Emissions;Cost_vs_Comfort;Emissions_vs_Comfort
STU_0030;Equal;Prefer_Second;Equal;Prefer_Second;Prefer_Second;Prefer_Second
STU_0031;Prefer_First;Equal;Equal;Prefer_First;Prefer_Second;Prefer_First
STU_0032;Prefer_Second;Prefer_First;Equal;Prefer_Second;Prefer_First;Prefer_Second
STU_0033;Prefer_First;Prefer_Second;Prefer_Second;Equal;Equal;Prefer_Second
STU_0034;Prefer_First;Equal;Equal;Prefer_Second;Prefer_Second;Prefer_First
STU_0035;Equal;Prefer_First;Equal;Equal;Prefer_First;Prefer_First
STU_0036;Prefer_First;Prefer_First;Prefer_Second;Equal;Prefer_Second;Equal
STU_0037;Prefer_First;Equal;Prefer_Second;Prefer_First;Prefer_First;Prefer_Second
STU_0038;Equal;Prefer_First;Prefer_First;Equal;Prefer_Second;Prefer_Second
STU_0039;Prefer_Second;Equal;Equal;Prefer_Second;Prefer_Second;Prefer_Second
STU_0040;Prefer_First;Equal;Equal;Prefer_First;Prefer_Second;Equal
STU_0041;Prefer_First;Equal;Prefer_First;Prefer_First;Equal;Prefer_First
STU_0042;Prefer_Second;Prefer_First;Prefer_First;Equal;Prefer_First;Prefer_Second
STU_0043;Prefer_Second;Prefer_First;Prefer_Second;Equal;Prefer_Second;Equal
STU_0044;Prefer_First;Prefer_Second;Equal;Prefer_Second;Prefer_Second;Prefer_First
STU_0045;Equal;Prefer_Second;Prefer_First;Prefer_Second;Prefer_First;Equal
STU_0046;Prefer_First;Prefer_First;Prefer_Second;Equal;Prefer_Second;Prefer_Second
STU_0047;Prefer_First;Prefer_First;Equal;Prefer_First;Prefer_Second;Equal
STU_0048;Prefer_Second;Prefer_First;Prefer_First;Equal;Prefer_First;Prefer_First
STU_0049;Prefer_Second;Equal;Prefer_First;Equal;Prefer_First;Equal
STU_0050;Prefer_Second;Prefer_Second;Prefer_Second;Equal;Prefer_First;Prefer_First
STU_0051;Prefer_First;Equal;Equal;Equal;Equal;Prefer_Second
STU_0052;Equal;Prefer_Second;Prefer_First;Prefer_First;Prefer_First;Equal
STU_0053;Prefer_First;Prefer_First;Prefer_First;Equal;Equal;Prefer_Second
STU_0054;Prefer_Second;Prefer_First;Prefer_First;Equal;Prefer_First;Equal
STU_0055;Equal;Prefer_Second;Prefer_Second;Prefer_First;Equal;Prefer_Second
STU_0056;Prefer_Second;Equal;Equal;Prefer_First;Equal;Equal
STU_0057;Prefer_First;Equal;Prefer_Second;Prefer_Second;Prefer_Second;Equal
STU_0058;Equal;Equal;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_Second
STU_0059;Prefer_First;Prefer_Second;Prefer_First;Equal;Prefer_First;Prefer_Second
STU_0060;Equal;Prefer_Second;Equal;Equal;Prefer_First;Prefer_Second
STU_0061;Prefer_Second;Equal;Prefer_Second;Equal;Prefer_Second;Equal
STU_0062;Equal;Equal;Equal;Prefer_Second;Prefer_Second;Prefer_Second
STU_0063;Prefer_Second;Prefer_First;Prefer_Second;Equal;Equal;Prefer_Second
STU_0064;Prefer_First;Prefer_First;Prefer_First;Prefer_Second;Equal;Equal
STU_0065;Prefer_First;Prefer_First;Equal;Prefer_Second;Equal;Prefer_Second
STU_0066;Prefer_Second;Equal;Equal;Equal;Prefer_First;Equal
STU_0067;Prefer_Second;Prefer_Second;Prefer_First;Prefer_Second;Prefer_Second;Prefer_Second
STU_0068;Prefer_Second;Prefer_First;Prefer_First;Equal;Prefer_First;Prefer_Second
STU_0069;Prefer_First;Prefer_First;Equal;Equal;Prefer_Second;Prefer_Second
STU_0070;Prefer_Second;Equal;Equal;Prefer_Second;Prefer_Second;Equal
STU_0071;Equal;Prefer_First;Prefer_First;Prefer_First;Prefer_Second;Prefer_Second
STU_0072;Prefer_First;Prefer_First;Equal;Prefer_Second;Equal;Prefer_First
STU_0073;Prefer_First;Prefer_First;Equal;Prefer_Second;Prefer_Second;Prefer_First
STU_0074;Prefer_Second;Equal;Prefer_Second;Equal;Prefer_First;Equal
STU_0075;Prefer_Second;Prefer_Second;Equal;Equal;Equal;Equal
STU_0076;Prefer_Second;Prefer_First;Equal;Prefer_First;Prefer_Second;Equal
STU_0077;Equal;Prefer_Second;Prefer_First;Equal;Prefer_Second;Equal
STU_0078;Prefer_Second;Prefer_First;Prefer_First;Equal;Prefer_Second;Equal
STU_0079;Prefer_First;Prefer_Second;Equal;Prefer_First;Prefer_Second;Prefer_Second
STU_0080;Prefer_First;Prefer_Second;Prefer_First;Prefer_First;Prefer_First;Prefer_First
STU_0081;Equal;Equal;Equal;Equal;Prefer_First;Prefer_Second
STU_0082;Equal;Prefer_Second;Prefer_First;Prefer_Second;Equal;Equal
STU_0083;Equal;Prefer_First;Equal;Prefer_Second;Equal;Prefer_Second
STU_0084;Prefer_Second;Prefer_Second;Equal;Equal;Equal;Prefer_Second
STU_0085;Prefer_Second;Equal;Prefer_Second;Equal;Prefer_Second;Prefer_First
STU_0086;Prefer_Second;Prefer_First;Prefer_Second;Equal;Prefer_First;Prefer_Second
STU_0087;Prefer_First;Equal;Prefer_Second;Prefer_First;Prefer_First;Prefer_Second
STU_0088;Prefer_Second;Prefer_First;Equal;Equal;Prefer_First;Prefer_Second
STU_0089;Prefer_Second;Prefer_First;Prefer_First;Equal;Equal;Prefer_Second
STU_0090;Prefer_First;Prefer_First;Equal;Equal;Prefer_Second;Prefer_Second
STU_0091;Prefer_Second;Prefer_First;Equal;Prefer_Second;Prefer_Second;Prefer_Second
STU_0092;Prefer_Second;Prefer_First;Prefer_Second;Prefer_First;Prefer_First;Prefer_First
STU_0093;Prefer_First;Equal;Equal;Equal;Prefer_Second;Prefer_Second
STU_0094;Equal;Equal;Prefer_First;Equal;Equal;Prefer_Second
STU_0095;Prefer_Second;Prefer_First;Prefer_Second;Equal;Prefer_Second;Prefer_First
STU_0096;Prefer_First;Prefer_First;Prefer_First;Prefer_Second;Equal;Equal
STU_0097;Prefer_Second;Prefer_First;Equal;Equal;Prefer_Second;Prefer_First
STU_0098;Prefer_First;Equal;Prefer_Second;Prefer_First;Equal;Prefer_Second
STU_0099;Equal;Equal;Prefer_First;Equal;Prefer_Second;Prefer_Second
STU_0100;Prefer_Second;Prefer_First;Equal;Prefer_First;Prefer_Second;Prefer_First
STU_0101;Prefer_First;Prefer_First;Prefer_First;Prefer_First;Prefer_Second;Prefer_Second
STU_0102;Prefer_Second;Prefer_Second;Equal;Prefer_First;Equal;Prefer_First
STU_0103;Equal;Prefer_First;Equal;Equal;Prefer_First;Equal
STU_0104;Equal;Prefer_Second;Prefer_Second;Equal;Prefer_Second;Prefer_First
STU_0105;Prefer_Second;Equal;Equal;Equal;Prefer_First;Prefer_First
STU_0106;Equal;Prefer_First;Prefer_First;Equal;Prefer_Second;Prefer_First
STU_0107;Prefer_First;Equal;Prefer_First;Equal;Equal;Prefer_Second
STU_0108;Equal;Equal;Equal;Equal;Prefer_First;Equal
STU_0109;Equal;Equal;Prefer_Second;Equal;Prefer_Second;Prefer_Second
STU_0110;Prefer_First;Prefer_First;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_First
STU_0111;Equal;Prefer_Second;Equal;Equal;Prefer_Second;Prefer_Second
STU_0112;Equal;Prefer_First;Equal;Equal;Prefer_Second;Equal
STU_0113;Equal;Prefer_Second;Equal;Prefer_Second;Equal;Prefer_First
STU_0114;Prefer_Second;Prefer_Second;Equal;Prefer_First;Prefer_First;Prefer_First
STU_0115;Prefer_First;Prefer_First;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_First
STU_0116;Prefer_Second;Equal;Equal;Prefer_First;Equal;Prefer_Second
STU_0117;Prefer_First;Prefer_Second;Equal;Equal;Equal;Prefer_Second
STU_0118;Prefer_First;Prefer_First;Equal;Equal;Equal;Prefer_First
STU_0119;Prefer_First;Prefer_Second;Equal;Prefer_First;Equal;Equal
STU_0120;Prefer_Second;Prefer_First;Equal;Prefer_First;Prefer_First;Prefer_First
STU_0121;Prefer_Second;Prefer_Second;Equal;Equal;Equal;Prefer_Second
STU_0122;Prefer_First;Equal;Prefer_First;Prefer_Second;Prefer_Second;Equal
STU_0123;Equal;Equal;Prefer_Second;Prefer_First;Prefer_Second;Prefer_Second
STU_0124;Prefer_First;Prefer_First;Equal;Prefer_First;Equal;Prefer_Second
STU_0125;Prefer_Second;Prefer_Second;Equal;Prefer_Second;Equal;Prefer_First
STU_0126;Prefer_Second;Prefer_First;Prefer_First;Equal;Prefer_First;Prefer_First
STU_0127;Prefer_First;Prefer_Second;Equal;Equal;Prefer_Second;Prefer_First
STU_0128;Prefer_First;Prefer_Second;Prefer_Second;Equal;Equal;Equal
STU_0129;Prefer_First;Prefer_First;Prefer_Second;Equal;Prefer_First;Prefer_First
STU_0130;Prefer_Second;Prefer_First;Prefer_First;Prefer_First;Prefer_First;Prefer_Second
STU_0131;Prefer_Second;Prefer_Second;Prefer_Second;Equal;Equal;Prefer_Second
STU_0132;Equal;Equal;Prefer_First;Equal;Prefer_First;Equal
STU_0133;Prefer_First;Prefer_First;Equal;Prefer_First;Prefer_First;Equal
STU_0134;Prefer_First;Prefer_First;Equal;Equal;Prefer_Second;Prefer_Second
STU_0135;Prefer_First;Prefer_First;Equal;Equal;Prefer_First;Prefer_Second
STU_0136;Prefer_First;Prefer_First;Equal;Prefer_Second;Prefer_Second;Prefer_Second
STU_0137;Equal;Prefer_Second;Equal;Prefer_First;Prefer_First;Prefer_First
STU_0138;Equal;Prefer_Second;Prefer_First;Equal;Prefer_Second;Prefer_First
STU_0139;Prefer_Second;Prefer_Second;Prefer_Second;Equal;Prefer_First;Equal
STU_0140;Equal;Equal;Equal;Prefer_Second;Prefer_Second;Prefer_Second
STU_0141;Equal;Prefer_First;Equal;Prefer_First;Equal;Prefer_First
STU_0142;Prefer_First;Equal;Equal;Equal;Prefer_First;Equal
STU_0143;Prefer_First;Equal;Prefer_First;Equal;Equal;Prefer_Second
STU_0144;Prefer_First;Prefer_Second;Equal;Equal;Prefer_Second;Prefer_Second
STU_0145;Prefer_Second;Prefer_Second;Prefer_First;Prefer_First;Prefer_Second;Prefer_Second
STU_0146;Prefer_First;Prefer_First;Prefer_Second;Prefer_Second;Equal;Equal
STU_0147;Prefer_Second;Equal;Equal;Equal;Prefer_Second;Prefer_First
STU_0148;Prefer_First;Equal;Prefer_Second;Equal;Prefer_First;Equal
STU_0149;Prefer_First;Prefer_First;Prefer_First;Prefer_First;Prefer_Second;Prefer_First
STU_0150;Prefer_Second;Prefer_First;Equal;Equal;Prefer_First;Prefer_Second
STU_0151;Equal;Prefer_Second;Equal;Prefer_First;Prefer_Second;Prefer_Second
STU_0152;Equal;Prefer_Second;Equal;Equal;Equal;Prefer_Second
STU_0153;Equal;Prefer_First;Prefer_Second;Prefer_First;Prefer_First;Prefer_Second
STU_0154;Prefer_First;Prefer_First;Prefer_Second;Equal;Prefer_Second;Prefer_First
STU_0155;Prefer_Second;Prefer_First;Equal;Prefer_First;Prefer_Second;Equal
STU_0156;Prefer_Second;Equal;Equal;Equal;Prefer_Second;Prefer_Second
STU_0157;Prefer_Second;Prefer_First;Equal;Prefer_First;Prefer_First;Prefer_First
STU_0158;Prefer_Second;Equal;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_First
STU_0159;Prefer_Second;Prefer_Second;Prefer_First;Prefer_Second;Equal;Prefer_Second
STU_0160;Prefer_Second;Equal;Equal;Prefer_First;Prefer_First;Equal
STU_0161;Equal;Prefer_Second;Prefer_First;Equal;Prefer_First;Prefer_First
STU_0162;Equal;Equal;Prefer_First;Prefer_Second;Prefer_First;Equal
STU_0163;Prefer_First;Equal;Prefer_First;Prefer_Second;Prefer_Second;Prefer_Second
STU_0164;Prefer_First;Prefer_Second;Prefer_First;Equal;Equal;Prefer_First
STU_0165;Prefer_First;Prefer_First;Prefer_First;Prefer_Second;Prefer_Second;Prefer_Second
STU_0166;Prefer_Second;Equal;Equal;Prefer_First;Prefer_Second;Prefer_Second
STU_0167;Prefer_First;Prefer_Second;Equal;Equal;Prefer_Second;Prefer_Second
STU_0168;Equal;Prefer_First;Prefer_Second;Equal;Prefer_Second;Prefer_Second
STU_0169;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_First;Prefer_Second;Equal
STU_0170;Prefer_Second;Prefer_Second;Prefer_Second;Equal;Equal;Prefer_First
STU_0171;Prefer_Second;Prefer_First;Equal;Prefer_Second;Equal;Prefer_Second
STU_0172;Prefer_First;Prefer_Second;Equal;Equal;Equal;Prefer_First
STU_0173;Prefer_Second;Prefer_Second;Prefer_First;Equal;Prefer_Second;Prefer_First
STU_0174;Prefer_First;Equal;Equal;Equal;Prefer_Second;Equal
STU_0175;Equal;Prefer_First;Equal;Prefer_Second;Prefer_Second;Prefer_Second
STU_0176;Prefer_First;Equal;Prefer_Second;Prefer_First;Prefer_First;Prefer_Second
STU_0177;Equal;Prefer_Second;Equal;Equal;Equal;Prefer_Second
STU_0178;Prefer_Second;Prefer_First;Prefer_Second;Prefer_Second;Equal;Prefer_Second
STU_0179;Prefer_First;Equal;Equal;Prefer_First;Prefer_First;Equal
STU_0180;Prefer_Second;Prefer_Second;Equal;Prefer_First;Prefer_Second;Prefer_Second
STU_0181;Prefer_Second;Prefer_Second;Prefer_Second;Equal;Prefer_First;Prefer_Second
STU_0182;Prefer_First;Prefer_Second;Equal;Equal;Prefer_Second;Prefer_Second
STU_0183;Prefer_Second;Prefer_Second;Prefer_Second;Equal;Equal;Prefer_First
STU_0184;Prefer_First;Equal;Prefer_First;Equal;Prefer_First;Prefer_First
STU_0185;Prefer_Second;Prefer_First;Prefer_Second;Prefer_First;Prefer_Second;Equal
STU_0186;Prefer_First;Prefer_First;Prefer_Second;Equal;Prefer_Second;Prefer_First
STU_0187;Prefer_First;Prefer_First;Prefer_First;Equal;Equal;Equal
STU_0188;Equal;Prefer_First;Prefer_First;Equal;Prefer_Second;Prefer_First
STU_0189;Prefer_First;Prefer_Second;Prefer_First;Equal;Prefer_Second;Prefer_Second
STU_0190;Prefer_First;Equal;Equal;Prefer_Second;Prefer_Second;Prefer_First
STU_0191;Prefer_First;Equal;Equal;Equal;Equal;Prefer_First
STU_0192;Equal;Prefer_First;Equal;Prefer_Second;Equal;Prefer_First
STU_0193;Equal;Prefer_Second;Equal;Prefer_First;Prefer_Second;Prefer_Second
STU_0194;Prefer_First;Prefer_First;Equal;Equal;Prefer_First;Prefer_Second
STU_0195;Equal;Prefer_First;Prefer_Second;Prefer_Second;Prefer_Second;Equal
STU_0196;Prefer_Second;Equal;Equal;Equal;Prefer_First;Prefer_Second
STU_0197;Prefer_Second;Prefer_First;Prefer_Second;Prefer_Second;Equal;Equal
STU_0198;Prefer_First;Prefer_First;Equal;Equal;Prefer_First;Equal
STU_0199;Prefer_First;Equal;Prefer_First;Prefer_First;Prefer_First;Equal
STU_0200;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_First;Equal
STU_0201;Prefer_First;Prefer_Second;Prefer_Second;Prefer_First;Prefer_Second;Prefer_Second
STU_0202;Prefer_First;Equal;Equal;Prefer_First;Equal;Prefer_First
STU_0203;Equal;Prefer_First;Equal;Prefer_Second;Prefer_Second;Prefer_Second
STU_0204;Prefer_First;Equal;Prefer_First;Prefer_First;Equal;Prefer_Second
STU_0205;Prefer_First;Prefer_First;Equal;Prefer_First;Prefer_Second;Prefer_Second
STU_0206;Prefer_Second;Prefer_First;Prefer_First;Equal;Equal;Prefer_Second
STU_0207;Prefer_Second;Prefer_Second;Equal;Prefer_Second;Prefer_Second;Prefer_Second
STU_0208;Prefer_First;Equal;Prefer_Second;Prefer_Second;Prefer_First;Equal
STU_0209;Prefer_First;Equal;Equal;Prefer_First;Equal;Prefer_First
STU_0210;Equal;Equal;Equal;Equal;Prefer_First;Prefer_First
STU_0211;Prefer_First;Prefer_Second;Equal;Equal;Prefer_First;Equal
STU_0212;Prefer_First;Prefer_Second;Prefer_Second;Prefer_First;Prefer_First;Prefer_First
STU_0213;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_First
STU_0214;Equal;Prefer_Second;Equal;Prefer_Second;Prefer_First;Prefer_Second
STU_0215;Prefer_Second;Prefer_First;Equal;Prefer_First;Equal;Equal
STU_0216;Prefer_First;Prefer_First;Equal;Equal;Prefer_Second;Prefer_Second
STU_0217;Prefer_Second;Prefer_Second;Equal;Equal;Equal;Prefer_Second
STU_0218;Equal;Prefer_Second;Prefer_First;Equal;Prefer_First;Prefer_First
STU_0219;Prefer_First;Prefer_Second;Prefer_First;Prefer_First;Prefer_First;Prefer_Second
STU_0220;Equal;Prefer_First;Equal;Prefer_Second;Prefer_Second;Equal
STU_0221;Prefer_Second;Prefer_Second;Prefer_Second;Equal;Prefer_Second;Prefer_First
STU_0222;Prefer_First;Prefer_First;Prefer_Second;Equal;Prefer_First;Prefer_Second
STU_0223;Prefer_Second;Prefer_Second;Prefer_Second;Equal;Prefer_Second;Prefer_Second
STU_0224;Prefer_Second;Equal;Prefer_First;Prefer_First;Prefer_Second;Prefer_First
STU_0225;Equal;Prefer_First;Equal;Equal;Prefer_Second;Equal
STU_0226;Prefer_Second;Prefer_Second;Equal;Prefer_Second;Prefer_Second;Equal
STU_0227;Equal;Prefer_First;Equal;Equal;Prefer_First;Equal
STU_0228;Prefer_First;Prefer_First;Equal;Equal;Prefer_First;Prefer_Second
STU_0229;Prefer_Second;Prefer_First;Equal;Prefer_Second;Prefer_First;Prefer_Second
STU_0230;Prefer_First;Prefer_Second;Prefer_Second;Equal;Prefer_First;Prefer_Second
STU_0231;Prefer_Second;Prefer_First;Prefer_Second;Equal;Prefer_First;Equal
STU_0232;Equal;Prefer_First;Prefer_Second;Prefer_Second;Prefer_First;Equal
STU_0233;Prefer_Second;Prefer_First;Prefer_First;Equal;Prefer_First;Prefer_First
STU_0234;Equal;Prefer_Second;Equal;Equal;Prefer_First;Prefer_First
STU_0235;Prefer_Second;Prefer_Second;Prefer_First;Prefer_First;Prefer_Second;Equal
STU_0236;Prefer_Second;Equal;Equal;Equal;Prefer_Second;Prefer_Second
STU_0237;Prefer_Second;Prefer_First;Equal;Prefer_Second;Prefer_Second;Prefer_Second
STU_0238;Prefer_First;Equal;Prefer_First;Equal;Prefer_First;Prefer_First
STU_0239;Prefer_Second;Prefer_Second;Equal;Prefer_Second;Prefer_Second;Prefer_Second
STU_0240;Prefer_Second;Prefer_First;Prefer_First;Equal;Prefer_First;Prefer_First
STU_0241;Prefer_Second;Equal;Prefer_Second;Prefer_First;Prefer_First;Prefer_First
STU_0242;Equal;Prefer_First;Prefer_Second;Equal;Prefer_First;Equal
STU_0243;Equal;Prefer_First;Equal;Prefer_First;Prefer_First;Prefer_Second
STU_0244;Prefer_Second;Equal;Equal;Equal;Equal;Prefer_Second
STU_0245;Equal;Equal;Prefer_First;Prefer_First;Equal;Prefer_First
STU_0246;Prefer_First;Equal;Equal;Prefer_First;Prefer_First;Prefer_First
STU_0247;Prefer_Second;Equal;Prefer_Second;Equal;Prefer_Second;Equal
STU_0248;Prefer_Second;Equal;Prefer_First;Equal;Prefer_First;Equal
STU_0249;Equal;Equal;Prefer_First;Prefer_Second;Equal;Prefer_First
STU_0250;Prefer_First;Prefer_Second;Prefer_First;Equal;Prefer_First;Equal
STU_0251;Prefer_First;Prefer_First;Prefer_First;Equal;Prefer_Second;Prefer_Second
STU_0252;Prefer_Second;Prefer_First;Prefer_First;Prefer_Second;Prefer_Second;Equal
STU_0253;Prefer_Second;Equal;Equal;Prefer_Second;Prefer_Second;Prefer_First
STU_0254;Equal;Prefer_Second;Prefer_First;Prefer_Second;Prefer_First;Prefer_First
STU_0255;Prefer_Second;Equal;Equal;Equal;Prefer_Second;Prefer_Second
STU_0256;Prefer_Second;Prefer_Second;Prefer_First;Prefer_First;Prefer_First;Equal
STU_0257;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_Second;Equal;Prefer_First
STU_0258;Prefer_First;Prefer_First;Prefer_Second;Prefer_First;Prefer_Second;Prefer_First
STU_0259;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_First;Prefer_First;Equal
STU_0260;Prefer_Second;Prefer_Second;Prefer_First;Equal;Prefer_First;Equal
STU_0261;Prefer_Second;Prefer_Second;Prefer_First;Equal;Prefer_First;Prefer_Second
STU_0262;Equal;Prefer_Second;Prefer_First;Prefer_Second;Prefer_First;Prefer_Second
STU_0263;Prefer_First;Prefer_Second;Equal;Prefer_Second;Prefer_Second;Prefer_Second
STU_0264;Prefer_First;Prefer_First;Equal;Prefer_First;Prefer_Second;Prefer_First
STU_0265;Prefer_First;Prefer_Second;Prefer_First;Prefer_First;Prefer_Second;Prefer_First
STU_0266;Prefer_First;Equal;Equal;Equal;Equal;Equal
STU_0267;Equal;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_First;Prefer_Second
STU_0268;Prefer_Second;Prefer_Second;Equal;Equal;Equal;Prefer_First
STU_0269;Prefer_First;Prefer_First;Prefer_First;Prefer_First;Prefer_Second;Equal
STU_0270;Prefer_First;Prefer_Second;Equal;Prefer_First;Prefer_Second;Prefer_First
STU_0271;Prefer_First;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_First;Equal
STU_0272;Prefer_First;Equal;Prefer_Second;Equal;Prefer_Second;Prefer_First
STU_0273;Prefer_Second;Prefer_First;Prefer_Second;Prefer_Second;Equal;Equal
STU_0274;Prefer_Second;Equal;Prefer_First;Equal;Prefer_Second;Prefer_Second
STU_0275;Equal;Prefer_First;Equal;Equal;Prefer_Second;Equal
STU_0276;Equal;Equal;Equal;Equal;Prefer_First;Prefer_Second
STU_0277;Equal;Prefer_First;Prefer_First;Prefer_Second;Prefer_Second;Prefer_First
STU_0278;Prefer_Second;Prefer_Second;Prefer_Second;Equal;Prefer_First;Prefer_First
STU_0279;Equal;Equal;Prefer_First;Prefer_First;Equal;Prefer_Second
STU_0280;Equal;Equal;Prefer_Second;Equal;Equal;Equal
STU_0281;Prefer_Second;Prefer_Second;Prefer_First;Prefer_Second;Prefer_First;Prefer_First
STU_0282;Prefer_First;Prefer_First;Equal;Prefer_First;Prefer_First;Prefer_First
STU_0283;Prefer_First;Prefer_Second;Prefer_First;Prefer_Second;Prefer_Second;Prefer_First
STU_0284;Equal;Prefer_First;Prefer_First;Equal;Prefer_Second;Prefer_First
STU_0285;Equal;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_First;Prefer_First
STU_0286;Prefer_First;Prefer_First;Equal;Equal;Prefer_Second;Prefer_First
STU_0287;Prefer_First;Prefer_First;Equal;Prefer_Second;Prefer_First;Equal
STU_0288;Prefer_First;Prefer_Second;Prefer_Second;Equal;Prefer_First;Prefer_Second
STU_0289;Equal;Prefer_First;Prefer_First;Prefer_Second;Prefer_Second;Equal
STU_0290;Prefer_First;Prefer_Second;Equal;Equal;Prefer_Second;Prefer_First
STU_0291;Prefer_First;Prefer_Second;Prefer_First;Prefer_Second;Prefer_Second;Prefer_First
STU_0292;Prefer_First;Equal;Prefer_Second;Prefer_First;Prefer_First;Prefer_First
STU_0293;Equal;Prefer_Second;Equal;Equal;Equal;Prefer_First
STU_0294;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_First;Equal;Equal
STU_0295;Prefer_First;Equal;Equal;Prefer_Second;Equal;Prefer_Second
STU_0296;Prefer_Second;Equal;Prefer_First;Equal;Equal;Equal
STU_0297;Prefer_Second;Equal;Prefer_First;Equal;Prefer_First;Equal
STU_0298;Prefer_First;Prefer_First;Equal;Equal;Prefer_Second;Prefer_Second
STU_0299;Prefer_First;Equal;Prefer_First;Prefer_Second;Prefer_Second;Prefer_Second
STU_0300;Equal;Prefer_Second;Equal;Prefer_First;Prefer_First;Prefer_Second
STU_0301;Equal;Equal;Prefer_First;Equal;Prefer_First;Prefer_Second
STU_0302;Equal;Prefer_First;Equal;Equal;Prefer_Second;Equal
STU_0303;Equal;Prefer_First;Equal;Equal;Prefer_Second;Prefer_Second
STU_0304;Prefer_Second;Prefer_First;Equal;Equal;Prefer_Second;Prefer_Second
STU_0305;Prefer_First;Equal;Equal;Equal;Prefer_Second;Prefer_Second
STU_0306;Prefer_Second;Prefer_First;Equal;Equal;Prefer_First;Prefer_First
STU_0307;Equal;Prefer_First;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_Second
STU_0308;Prefer_First;Prefer_Second;Prefer_Second;Equal;Prefer_First;Prefer_Second
STU_0309;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_First;Prefer_Second;Prefer_First
STU_0310;Prefer_First;Prefer_Second;Equal;Equal;Equal;Prefer_Second
STU_0311;Prefer_Second;Prefer_First;Equal;Prefer_First;Prefer_Second;Equal
STU_0312;Prefer_First;Prefer_First;Prefer_First;Equal;Prefer_Second;Equal
STU_0313;Equal;Prefer_First;Prefer_Second;Prefer_Second;Prefer_Second;Prefer_First
STU_0314;Prefer_First;Equal;Prefer_Second;Equal;Prefer_First;Equal
